,Unnamed: 0,count,hate_speech,offensive_language,neither,class,tweet
18473,18882,3,0,3,0,1,RT @_lex_lloyd: Y'all bitches be like 16 looking 25 &#128553;
2937,3008,3,0,3,0,1,@D_41395 bitch don't b a hypocrite
6781,6970,3,2,1,0,0,@nosfiend215 @faggot696969 niggers
16911,17298,3,0,3,0,1,"RT @PluggedInPiff: @ThoughtsOfRandy stop following ""bad bitches"" and ya won't get spammed"
8729,8973,3,0,3,0,1,Did you punk bitches take my salmon cream cheese?
20055,20499,4,0,4,0,1,RT @spiffytwiley: @vintage_monroe_ bitch you gorgeous
1517,1549,3,0,3,0,1,&#8220;@SeymourBlanco: They game is over fuck yall bitches &amp; yall attitudes &#128514;&#128514;&#128514;&#128557;&#128557; http://t.co/rLrnYbfedT&#8221;&#128557;&#128557;
23437,23926,3,0,1,2,2,You wanna find hoes on here? Just follow the chicks who reply with heart eyes under sex gifs
2057,2098,3,1,2,0,1,' I wouldn't bring my girl around nobody but Leo &#1041204;&#1041204;&#9995; He the only niggah I KNOW that wouldn't mess with any of the... http://t.co/LWDxrVJceu
23055,23538,3,0,0,3,2,YES!! RT @Merky__: NO!!! RT @HuffPostTaste Will YOU buy the new Caramel Apple flavor of Oreos? http://t.co/K8zUp4Ynzf http://t.co/AMuZaTglx8
13480,13811,6,0,5,1,1,Now a neighborhood nigga like me ain't supposed to get no pussy like this
6068,6243,3,0,3,0,1,@harmon_lauren being a stupid bitch apparently.
15411,15774,3,0,3,0,1,RT @HBCUfessions: Us dykes get more play than most niggas! -FAMU
6217,6395,6,0,6,0,1,@janisjayy all the real gangsters knoww nate aint never loved no hoe
5489,5647,3,0,3,0,1,@alexiscarfield ya damn right nigglet! :D
3653,3753,3,1,2,0,1,@JeremyAdams_ you're a bitch
8515,8751,6,1,1,4,2,Conan Obrien needs to get a life with that $80 million..monkey food maybe.
24781,25295,6,0,6,0,1,youu got wild bitches tellin you lies
10504,10783,3,1,2,0,1,"I hate when girls say ""forever alone"" like shut up your ""forever a hoe"" not forever alone so shut up before I get your dick breath on me"
1658,1693,3,0,3,0,1,&#8220;@__IamAnnaY: bitch gotta work all hard to clean that shit without ripping her skin&#8221; LMAOSJDUSUBEJS
4096,4218,3,0,3,0,1,"@Midnight_Snacka bitch when r u going to get ur round, I just fucking said this just proving my point"
21617,22080,3,0,3,0,1,The solution is simple : buy a bitch
16374,16747,3,0,3,0,1,RT @Marckoo_yo: Youzza bitch
4607,4743,3,3,0,0,0,@SMASEY you're such a faggot
2019,2060,3,1,2,0,1,' Beat the pussy up till its red like rosters and after I fuck I get to moovin like the hoovas &#1040784;&#9996;&#65039; .
20194,20639,3,0,3,0,1,RT @tinykissable: Only low self esteem niggas walk around braggin about bitches he fucked! They have something to prove to ppl
16882,17269,3,0,3,0,1,RT @Permatrippin: How i eat the pussy http://t.co/kdFHDx8yDT
20219,20664,3,0,3,0,1,RT @trapgrampa: I fucked ur bitch after I got bingo
5579,5738,4,1,3,0,1,@babyspittle @Kimmyincali @MartiniShark @SenatorReid Still blaming Bush? Fucking retard
14041,14381,3,0,1,2,2,RT @5SOS: It's the best thing ever driving past crowds of people at shows and seeing bandannas coloured hair 5sos shirts that you've made o&#8230;
22863,23342,3,0,3,0,1,Why do bitches come to school wearing stripper heels to school &#128563;&#128530; makes no sense!! &#128096;&#128581;
2476,2527,3,0,3,0,1,"@Are_Ohh_Bee bitch you up and joined the fucking army and those of us around this bitch was like ""where the fuck rob go to the fuckin army?"""
2142,2187,3,0,3,0,1,*Nicolas Cage unrolls dusty secret scroll* It says here James Madison was a whiny little bitch
8806,9051,3,0,3,0,1,Don't let the power of the dollar turn you into a hoe.
6797,6987,3,0,3,0,1,@ohyeahtrip Congratulations brother! We in that hoe!
17109,17500,3,0,2,1,1,RT @RipCaps: Damn.. it's hotter than a bitch
18387,18796,3,0,3,0,1,RT @__Stackzz: Pick 6 hoe lets gooo
11574,11868,3,3,0,0,0,If someone is part of 'James X' then he's a white trash cultist.
675,685,3,0,3,0,1,#BitchSlapThursdays 2NITE PURE PASSION DOORS OPEN @ 10.... But we watching the game in that bitch too&#8230; http://t.co/IggoHWEwfh
12402,12714,3,0,3,0,1,Life's a bitch &amp; then you die
7598,7813,3,0,3,0,1,All my old hoes wana have my baby
21901,22368,3,0,2,1,1,Thinking about getting my nips pierced...
21140,21596,3,0,3,0,1,"Started wit Hanna Montana hoes....
.... Now im fuckin all of Nick Cannon hoes"
4035,4156,3,0,1,2,2,@MarkB_LifeStyle @SportsCenter @Athletics Cant the Yankees make some last weeks moves??
21824,22290,3,0,3,0,1,These lil niggas can't hang big shit poppin bitch and big my first name
8824,9069,3,0,3,0,1,Don't touch me bitch I'm famous.
10418,10696,3,0,2,1,1,"I had the boldest side hoes, come out to me I front of my girl nd start touchin a nigguh"
6739,6927,3,0,3,0,1,@munafal777 karma is a bitch
12796,13113,3,0,3,0,1,Me &amp; Elizabeth are down bitches.
6204,6382,3,0,3,0,1,@jacksparenohoe hotter than a pussy in a pepper patch....who makes this shit up anyways...?
2910,2981,3,1,2,0,1,@Cryystalina haha yes niggah but yesterday night Idk man it hit me at night like around 2 in the morning didn't go to sleep till like 4..
13732,14068,3,0,3,0,1,Oscars fuckin roasts right now got me hella dying. &#128514;&#128514;&#128514;&#128514;&#128514; this bitch. &#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;
16788,17173,3,1,2,0,1,RT @OhLawdItsNiesha: I swear that bitch.... can not talk... but I love her attitude bruh.. #LHHATL
1476,1506,3,0,3,0,1,&#8220;@Quis_2TurntUp: &#8220;@1017_Sqquad: Iont got no type&#8221;bad bitches is the only thing that I like &#128111;&#128131;&#128131;&#8221;aye I'm just living life
8509,8745,3,2,1,0,0,Come on nd get that chicken niggers love dat chicken from popeyes http://t.co/YjFh2HaVav
2292,2337,3,0,3,0,1,@ the person who significant other a hoe and you the s/o cheating
21962,22429,6,0,6,0,1,This bitch has two jobs and is starting school on the 26th. #fuckwhatyouheard
7775,7994,3,0,3,0,1,"Another high point was a Hungarian calling me ""cheat fuck"" and ""cheat pussy"" for doing well."
15924,16293,6,0,6,0,1,RT @KINGTUNCHI_: Lol it's funny tho cuz every hoe that talk shit I .... NVm that shit ain't player
3644,3744,3,0,0,3,2,@JennyJohnsonHi5 Did you say spray tan? **Charlie Crist switches back to Republican**
10249,10527,3,0,3,0,1,I don't want no boof hoes or no burnt girls !
21923,22390,3,1,2,0,1,This Uncle Tom mother fucking wants to invoke 3/5 a man in his speech? Dude you ain't white no matter how much... http://t.co/3yrcyC9ezc
16556,16936,3,0,3,0,1,RT @Murica_FuckYea: City bitches &#128514;&#128514;&#128514;&#128514;#starbucks #uggboots #Jellydoughnuts https://t.co/VVIT8HP40t
21163,21620,3,2,1,0,0,"Still really confused re #humplayproblems i think lucricus
Is a fag dagger"
22740,23218,3,0,2,1,1,"When they bitch about ""carbon emissions"" tell them to stop breathing because exhaling adds carbon dioxide to the atmosphere..."
22845,23324,3,0,3,0,1,Why am I being such a bitch today? #lol
14661,15011,3,0,3,0,1,RT @CheefPolo: bitches love coming out in public naked &#8220;@ESPNDaniel: Don't do this &#8220;@basedlightskin: !!!! http://t.co/WgD3mNd55V&#8221;&#8221;
11379,11671,3,1,2,0,1,I'm sick of dudes posting videos of them singing on vine. Do that shit in the shower or something fags
23954,24451,3,0,3,0,1,http://t.co/bPU86qzYFt Arial Rose &#8211; Athletic Asian babe plays with her pussy after&#160;exercising http://t.co/n3DnrsI352
22700,23178,3,0,3,0,1,When her pussy doesn't taste like pineapples http://t.co/tWpg0XXwbB
14284,14626,3,0,3,0,1,RT @BabbbyGirl0317: #honestyhour no bitch better try to fuck with my girl cause I will go off
14386,14729,3,0,3,0,1,"RT @Bigboybeezy: Kanye &gt; Tupac........ ""are you serious?"" Yep bitch keep it moving."
24189,24693,3,0,3,0,1,"look at this bitch feet, how is she high fashion cuh http://t.co/tKlXUuxo"
8182,8409,6,2,4,0,1,Bring a niggah some icecream
5917,6086,3,1,0,2,2,@elchavaloko pinche panamonos negros me Dan asco
13111,13436,3,0,3,0,1,My nigga so stiff but his bitch even stiffer &#128175;&#128107;&#128143;&#128074;.... Me that is &#128175;
4560,4694,3,0,3,0,1,@Roc_SS @BallHawk_Carter nah son we ca go half if it was my girl bitches be wanting to spend 400 and up on some fake hair
953,975,3,0,3,0,1,&#128095;&#128095;&#128095;&#128095; got ur bitch tip toeing on my marble floors.......
346,351,3,0,3,0,1,"""@jaimescudi_: ""@Tonybthrz_: ""@jaimescudi_: I swear if oomf try talking to me tomorrow.."" @"" @BarackObama"" pussy"
2189,2234,3,0,0,3,2,".@dawnbazely Thank you, Dawn. I see our state bird graces your avatar..."
5467,5625,3,0,3,0,1,@adorianloveee man fuck this bitch http://t.co/oIXHg4jtv8
11184,11471,6,1,5,0,1,"I'll stop drugs, alcohol, fags, sluts for you. Just give me a chance. It's been a year and I feel the same, that clearly means something."
21734,22198,3,0,3,0,1,These bitches man they love to HARASS
23346,23832,3,0,3,0,1,You know how these hoes be! http://t.co/EdHIfNsrfR
2830,2899,3,2,1,0,0,@ChaseBasford chase you God damn faggot &#128514;&#128557;&#128514;&#128557;
22502,22977,3,0,3,0,1,Wayne crazy.... New Orleans ass nicca lol
7018,7214,3,1,2,0,1,@shareefkeyes fat hoes need a treadmill??? Lol hmu! Therealwesjames@gmail.com
16654,17038,3,1,2,0,1,RT @NikoWavy: Men suppose to accept that they girl look like a piece of shit with no makeup but a ugly nigga can get a look? Lol ok bitch
9985,10257,3,0,3,0,1,I ain't fenna be locked up 23 hours a day beating my dick for a guilty MF who out here fucking free world pussy.
14042,14382,3,2,1,0,0,RT @602StrangeAngel: Your Swags off fag sauce
3129,3208,3,0,3,0,1,@EricWithAHotDad bitch I'm done with school
6341,6523,3,1,2,0,1,@karlamorenoo my niggah my niggah lol
17644,18044,3,0,3,0,1,"RT @TheCockiestMan: ""She's really nice when you get to know her!"" = She's a bitch but you'll get used to it."
15560,15925,3,0,3,0,1,RT @IEsoFab: &#128514; RT @VeronicaGK: Yea I got big hands lol i'm a big bitch 5'10 lol i'm not gon have small hands &#128514;&#128514;&#128514;&#128514;
19729,20167,3,2,1,0,0,RT @natal_mendoz: Whore slut cunt bitch nigga
14405,14748,3,0,2,1,1,RT @BkBap: ...like to have a seat on it. I also don't assume that because a woman contributes to a sex convo that means her pussy is open f&#8230;
8193,8420,3,0,3,0,1,Broke bitches that talk shit those the ones that I stunt for &#128526;
11372,11664,3,0,3,0,1,I'm saying though!! &#128514;&#128514;&#128553;&#128553; RT @___bria: all my panties be vs. ion look like these bitches tho
20769,21218,3,0,0,3,2,She unfollowed me after I said I cried watching dawn of the apes lmaooooooo
3248,3332,3,1,2,0,1,@Get__Em__Craig funky hoe you gone solo
20826,21277,6,0,6,0,1,Shut up bitch swallow
17523,17922,3,0,3,0,1,RT @THAT_bitch_xo: Some bitches forget you have to be a friend to keep a friend #getlostfakebitch&#9996;
1604,1639,3,1,2,0,1,&#8220;@WeirdLilThingz: Stop giving a nigga pussy he stop actin like he care&#8221; no true totally ...
4030,4150,3,2,1,0,0,@MarianCristinax you a fag b
7576,7790,3,0,0,3,2,All Okies are trash.
23186,23670,3,0,3,0,1,Yo bitch she boof she got that throwbac pussy !
12004,12308,3,0,3,0,1,Its funny how these hoes will be texting yo phone all day and then 3 days later have a boyfriend &#128514;
17948,18350,3,0,3,0,1,RT @UrKindOfBrand: Vote or Die bitches
581,590,3,0,3,0,1,"""Walked in that bitch like, NIGGA WE MADE IT!"""
1871,1909,3,0,3,0,1,&#8220;@peytonreeces_: &#8220;@b10oreo: Lmao nvm&#8221; that's right bitch&#8221; go drink some warm milk and go to bed
1730,1765,3,0,3,0,1,&#8220;@comedianjayski: My favorite time of da day HAPPY HOUR!!! #Drinkbreak&#8221;when the bad bitches come out and the ok hoes at home doing make-up
5783,5947,3,0,0,3,2,"@cullenbunn Maybe Baylee Ann, Tater Pud, Nurse Fester, Charlie Chainsaws, &amp; Mama Rot should be their own team?! Next time in PunisherMAX!:-D"
9186,9442,3,0,3,0,1,Free love &amp; sexual liberation SEEMED to be the dawn of lots of consequence free pussy for them 60s negroes. WHY WE ALWAYS FORGETTING HISTORY
14593,14942,3,0,2,1,1,RT @CantBeLocal: The 6 commandments of being a hoe http://t.co/85Z6PYXGpJ
9200,9456,3,0,1,2,2,Friend or foe nicca .. State ya biz
4857,4998,3,0,2,1,1,@Taylor_Simonee you have your nips pierced too ?! &#127806;&#128064;&#127806;
20053,20497,3,0,3,0,1,RT @souljaboy: K Michelle pussy smell like shit
2311,2357,3,0,3,0,1,@1MannyOnly @iamadamg_ @JennyReyes42 bitches will be bitches.
23090,23573,3,0,3,0,1,Yall live for bitches and blunts. We live for weed and money!!!!!!
7052,7249,6,0,6,0,1,@slings_x_arrows Equality niggah
7674,7891,3,2,1,0,0,"Almost got to see a white boy get beat around today, but he ran like a bitch."
18223,18628,3,0,3,0,1,"RT @Zednanreh__: ""@_InMyZoneeee: I think my wish came true, where y'all hating ass bitches at &#128299; http://t.co/so4coPPpU9""oh nahhhhh"
13634,13969,3,0,3,0,1,One hoe be fine as fuck and the other one be ugly than a Bitch
13356,13684,3,0,3,0,1,Niggas who stand in line for Jays mad at me now. ehh fuck you. I pull hoes nd stunt without em on
12100,12409,6,0,6,0,1,Juicy J can't say no to ratchet pussy remember?
17641,18041,3,1,2,0,1,RT @TheCELEBrittany: - These porn hoes moan at EVERYTHING !!! &#128553;&#128555;&#128553; A nigga unbutton her shirt she moaning like stfu
8073,8298,3,1,2,0,1,"Bitches be tambout ""my party""..... no bitch, its everybody party...."
12830,13149,3,0,3,0,1,Merry Christmas to all y'all bitches and hoes
8257,8486,3,0,3,0,1,But she a bad bad bitch make you late for it.
21562,22024,3,0,3,0,1,The gospel RT @TibriDotCom: Better wake up and realize that the good Lord ain't stop creating pussy when he built yours shawty.
21201,21661,3,1,2,0,1,Stupid bitches&#9995;&#128529; &lt;&lt;&lt; FUCK . &#128530;
5116,5268,3,0,0,3,2,@Wagz This cold we have going around our little hick town had about everyone I know locked in their houses for better than a week. Stay well
9860,10127,3,0,2,1,1,Hoes hang wit hoes cuz dey got da same hobbies
21412,21874,3,1,2,0,1,That nigga john ain't ah Real older nigga Forreal.. He let Vick brotha bitch out on maplerow
19638,20075,3,2,0,1,0,"RT @marylene58: ""@maggietanquary: shes one of the ugliest women Ive ever seen. Cross between a reptile and a crow."" http://t.co/jsyAoguP4S"
16105,16475,3,0,3,0,1,RT @LEGIQN: Write 16 bars about your side hoes and money so she knows it's real.
14421,14764,3,0,3,0,1,"RT @BlazeTheGreat_: The most likely signs to be crazy bitches:

Aries
Taurus
Gemini
Cancer
Leo
Virgo
Libra
Scorpio
Sagittarius
Capricorn
Aq&#8230;"
14976,15332,3,0,3,0,1,RT @DeolaCola: They don't make R&amp;B like THIS anymore!!!!!!! Dudes used to make you feel good about busting it wide open not call you a hoe &#8230;
501,509,3,0,3,0,1,"""I'm sick of his shit man @JonnieSantana: Sit his bitch ass, I'm fed up bro RT ""@80sbaby4life: Geno threw yet another pick smh"""""
16436,16811,3,0,0,3,2,RT @MichaelArenella: Shy girls are cute
12957,13276,3,0,1,2,2,My baby guinea pig is so cute #Adorable
20084,20529,6,0,0,6,2,"RT @sweetromance: @1visionamd @Redeemed1952 @AZWS Once again, birds of a feather...."
7808,8028,3,0,0,3,2,"Are you tired of the ""mock drafts""? Let's just do this: If Clowney is not the 1st pick, who thinks Round 1 becomes ""chaos""? #ShowOfHands"
4818,4958,3,0,0,3,2,@TG_Hawks #yellow &#127773;
20010,20453,3,0,3,0,1,RT @shikeattike: Pussy niggas don't get no pussy nigga
15544,15909,3,0,3,0,1,RT @Humxnerror: we can't be cool if you gonna be a little bitch all the time
5576,5735,3,0,3,0,1,@baaaabyshaaaay_ Yassss bitch!!
21285,21746,3,0,3,0,1,Tanning with my main bitch
23487,23978,3,2,1,0,0,Your acting like a spoiled little faggot have fun
3234,3318,3,0,2,1,1,@G_Babyrachi niccas dnt kno bout da art of finessin
3936,4052,3,0,3,0,1,@LittlGfunk &#128575;pussy whipped
16166,16536,3,0,3,0,1,RT @LeanandCuisine: Bitch you a hoe... check yo DMs &#8220;@NatalieeLeee: Can I get a new follower? &#128584;&#128586; http://t.co/mv4mkHEa1G&#8221;
3844,3954,3,2,1,0,0,@King_Albert21 @Ceto_13 u pulled.that queer shit as spon as u put no homo lol
18008,18412,6,2,4,0,1,RT @WORIDSTARHlPHOP: If a Nigga try to slide in my bitch DMs.. http://t.co/Mr2FjYUgTn
21673,22136,3,0,3,0,1,Then ya'll idolize Kanye when he wifed up a hoe. Lol
11258,11545,3,0,3,0,1,I'm dressing up as an albino one day and scaring the shit out of amaris' mom
4495,4627,3,0,3,0,1,@Ray_dec15 haha yeah they do say im a little bitch
2907,2978,3,0,3,0,1,@Crowe_FaShow cause of the loads of pussy you get right
15661,16027,3,0,0,3,2,RT @ItsChee_: Whipped https://t.co/uCV3Hrjatv
249,252,3,0,3,0,1,"""@TayKnosBest: These hoes is crazy"""
1596,1631,3,0,3,0,1,&#8220;@Untouchable_T: Never seen so many perfect bitches til I made a Twitter &#128564; but &#128056;&#9749;&#65039;&#8221;&#128175;&#128175;&#128175;&#128175;&#128175;&#128175;&#128175;&#128175;&#128175;&#128175;&#128175;&#128175;&#128175;&#128175;&#128175;&#128175;&#128175;&#128175;&#128175;&#128175;&#128175;&#128175;&#128175;&#128175;&#128175;&#128175;&#128175;&#128175;&#128175;&#128175;&#128175;&#128175;&#128175;&#128175;&#128175;&#128175;&#128175;&#128175;&#128175;&#128175;&#128175;&#128175;&#128175;&#128175;&#128175;&#128175;&#128175;&#128175;&#128175;&#128175;&#128175;&#128175;&#128175;&#128175;&#128175;&#128175;&#128175;
24074,24575,3,0,3,0,1,im weeaboo trash
736,747,3,0,3,0,1,"#MentionADislike hoes thinkin they bad even if they are I will tell her ""bitch calm down u average"""
20474,20920,9,0,9,0,1,Ray Rice is a bitch &amp; his wife is stupid for staying by his side.
5369,5526,3,0,3,0,1,"@__0utcast___ but then they said ""oh nah ur not"" but dude I'm getting to be a heartless bitch have you not met me"
15051,15408,3,0,3,0,1,"RT @Dreams_N_Money: 1. For male rap artist if you not talking about money, bitches and drugs niggas don't wanna hear your shit"
21687,22150,3,0,3,0,1,There was a reason why I blocked this bitch
8172,8399,3,0,3,0,1,Break shit fuck the law....grrrr...fuck that shit...punch that bitch!
22217,22687,3,0,2,1,1,Told da nicca str8 up to his face whateva he got goin on I Want In..Guess he felt some type of way bout it
9574,9834,3,0,0,3,2,Green grass and tree trash. http://t.co/SO9C7g3FQ5
18906,19325,3,0,0,3,2,RT @donnellrawlings: Salute to Derek jetter! Best Yankee ever!
8194,8421,3,0,3,0,1,"Broke bitches that talk shit, now them the bitches I stunt for &#9994;"
12669,12984,3,0,3,0,1,Lou is such a lil bitch
19198,19625,3,0,3,0,1,RT @iSell_Pussy4EBT: This bitch really happy she got 60k followers from getting kicked out of a moving car by her abusive bf and almost dyi&#8230;
6313,6494,3,0,3,0,1,@justezzzee bitch you look like one of the characters off of Sesame Street which yo ugly ass.
21974,22441,3,0,3,0,1,This bitch is so annoying&#128530;&#128530;
22756,23235,3,0,3,0,1,"When you realize how curiosity is a bitch. An should of let the unknown stay, unknown. #CuriosityKilledMe"
15068,15425,3,0,3,0,1,"RT @DrunkyStory: ""1st time eating pussy, I thought I was supposed to literally eat it so I ended up biting her clit really hard. We havent &#8230;"
16324,16696,3,2,1,0,0,RT @MANIAC3X: @NotoriousBM95 @Woody_AFC @_WhitePonyJr_ @santi_4l @Bamoose12 start crying and stalking him faggot. I want to laff
21702,22166,3,0,3,0,1,There's other bad bitches &#128514;&#128514;
8758,9002,3,0,0,3,2,"Do girls wear bathrobes still cuz I have really cute fuzzy $60 bathrobe from Victorias Secret, is that even ok to wear &#128589;"
7692,7909,3,0,3,0,1,"Always wanted to fuck that bitch, thank you god I fucked that bitch"
18508,18917,3,0,3,0,1,RT @_xplicitContent: if im bad built ok yall built like tractors yall got relationships bitch where mine ?? &#128533;
927,947,3,0,3,0,1,"#wrongfilmquotes ..everytime I come in the kitchen you in the kitchen, in the goddamn refrigerator. Eatin up all the pussy"
16280,16652,3,0,3,0,1,RT @LouieVRee: Well damn girl you a bad bitch now http://t.co/wU0ARD7YIF
21072,21525,3,1,0,2,2,Someone tell @RSherman_25 his dreads are part of the uniform. I'd pull your hair too. Why are you trash talking? Cut your Doodoo braids.
550,559,3,0,3,0,1,"""She gotta shape up her pussy lips tho @PostPrettyPussy: Whole wheat organic pussy http://t.co/kq0R0A7z2g"""
15997,16366,3,0,3,0,1,RT @KeyshBeChillin Have you bitches done your Kegals today?
21371,21833,3,0,3,0,1,That bitch is corn fed
23522,24013,6,0,0,6,2,Zack still questions my love for Oreos lol
3217,3301,3,0,3,0,1,"@FusionRocks @jumabr 
I likes me dem Mexican hoes. Day suck me off for 5 dollas"
14866,15222,3,0,0,3,2,RT @DIYcookery: Godiva Chocolate Dipped Oreos &#128523; http://t.co/OSYPnadYtO
19637,20074,3,0,3,0,1,"RT @marylene58: ""@GoalieBill328: @sarobards @Julesofthesmile @NeliusPamela @PubliusScion yes she is ghetto bitch"" http://t.co/jIxWXEXNIe"
6127,6304,3,0,3,0,1,@iLLmak3Ufamous oh bitch! ... I just saw your instagram post and I SCREAMED
14310,14652,3,0,0,3,2,"RT @BaseballFact: At George Steinbrenner's first Yankees news conference, he said he wouldn't interfere in baseball decisions, promising ..."
7216,7423,3,0,3,0,1,@tupacselenas hey bitch imy
18432,18841,9,0,9,0,1,"RT @_blvcksxul: When u see a bitch that don&#8217;t like u, look at u&#8230; http://t.co/vAO8ovq4XM"
21839,22306,3,0,3,0,1,"These nigs is haters man, and I've made myself so easy to luv"
17202,17594,3,1,2,0,1,RT @SarcasmLeague: Somewhere in the world some bitch is ordering roses for herself so she doesn't look like the lonely bitch at the office
20882,21333,3,0,3,0,1,Slide in the pussy like a surfboard
13881,14220,3,0,3,0,1,Pop that pussy for a real nigga
184,186,3,3,0,0,0,"""@MarkRoundtreeJr: LMFAOOOO I HATE BLACK PEOPLE https://t.co/RNvD2nLCDR"" This is why there's black people and niggers"
5517,5675,3,1,2,0,1,"@amyklobuchar he was 17 not 16 &amp; he tried to beat up a much weaker ""creepy ass cracker"" that is why he is dead. If Zimmerman was a woman..."
3540,3634,3,0,3,0,1,@ItsmeKyleWayne Yeaa black bitches actin like they too good for an average nigga like they just got A1 credit and pussy
24132,24634,3,0,0,3,2,kit kats trash
916,936,3,1,0,2,2,"#teabagger state like mississippi opposed to minimum wage, child labor laws, unions, is pro-scab, sweatshop work - pretty much #SLAVERY."
6157,6334,3,2,1,0,0,@illbreatheyouin happy birthday faggot.
21115,21569,3,0,3,0,1,Sounded like a god damn bear just fell out of my trees. Might be time to stop pissing outside and @Rorschach7 piss bucket up in this bitch.
2068,2110,3,0,3,0,1,"' Ima kill that pussy straight murder that shit , and Ima eat it , eat it , eat it &#1043291;&#1040788; And lick it till it slaps . Aye &#1041237;&#1041191; ."
4695,4833,3,0,3,0,1,@ShesLeslee you sure ?. . . And lmao pussy!
21153,21610,3,0,3,0,1,Steve Calvin Annis cunt http://t.co/8S0cIl5z
1735,1770,3,0,3,0,1,&#8220;@crystalinag: finger a bitch w/ my trigger finger&#8221; nigga shut up
8670,8910,3,0,2,1,1,"De Niro's wife in Casino is the second biggest cunt of all time, first is still George's mother in Blow"
22598,23074,3,3,0,0,0,"What be the peckin order?
1 white Christian
2 colored
3 Porto Ricans 
4 Arab 
5 Jews 

I donts know. I be axin"
2613,2673,3,0,3,0,1,"@Bitterchick @hellobaphomet 
Y'all be some crazy white bitches. I wants to lay down wit you bowf."
21859,22326,3,0,0,3,2,They come to you out of the blue. They make others see red and green with envy. They aren't always black or white. You're not yellow luckily
5352,5509,3,0,3,0,1,@_SqueezeMeBaby don't tell the dumb hoes that
13296,13624,3,0,3,0,1,Nigga was sweating like a guilty preacher in that bitch
14112,14452,6,1,5,0,1,RT @Adddisonn: Smoke good weed with a bad bitch
11124,11411,3,0,3,0,1,"I would call you a bitch, but that's frowned upon."
8034,8259,3,2,1,0,0,"Bill Smith DDS MTV ODB LGBTQ MMA NFL AFLCIO 

bitch pick one.

Fucking hate you.

I know you proud but shit."
22577,23053,3,1,2,0,1,Westbrook you ball hogging bitch pass it to your fuckin teammates if you want to win
23052,23535,3,0,3,0,1,Y'all tweet the same shit everytime I get back on this bitch
23033,23516,6,0,6,0,1,Y'all hoes believe anything though
3436,3526,3,0,3,0,1,@Hype I'm not delivering to that bitch boy anymore.
7181,7384,3,0,3,0,1,@tjdunn23 you're such a darkie.
11938,12242,3,0,3,0,1,It's either your getting pussy Or are one what will it be?
1931,1971,3,0,3,0,1,&#8220;@trapwavey: Lol rt. @Cameron5833: If yo bitch don't read books or eat fruits... She a hoe.&#8221;&#128514;&#128514;&#128514;
6237,6416,3,1,2,0,1,@jdimenstein @JagexLyon yeah if you get in trouble its less than a .5 percent chance that its a mistake. so you're a fucking retard.
7460,7671,3,2,1,0,0,A nicca say he ballin ask em where his title n his deeds at not wher his clothes n his keys at
3923,4039,3,0,0,3,2,"@LilMissRightie Hey #teabagger the #benghazi thing is a joke. 13 Benghazis under Bush, no hearings. More on Benghazi than real 9-11 attack"
7988,8211,3,0,3,0,1,"Being a girl sucks. We have to deal with periods making us a bitch, shaving our legs on a daily basis, and worrying about what we eat."
12852,13171,3,0,3,0,1,Miley cyrus kinda looks like a retarded care bear....
2718,2783,3,0,0,3,2,@CBSThisMorning @charlierose @NorahODonnell tx trash your show was a disgrace this AM engaging w @MittRomney disrespecting the President
12725,13042,3,0,3,0,1,Man I'm tired of dealing with these hoes but my dick not
2554,2611,3,0,3,0,1,@BarbieNixon a moment of silence for the bitch who changes her name everyday ..:-)
19824,20265,3,0,1,2,2,RT @paul_lander: Charlie Sheen is engaged to a porn star. I can't be the only one thinking she can do a lot better.
4288,4415,3,1,2,0,1,@NoShtickZone I called him a pussy and got blocked real quick by him and Bobby Kelly. I cant say I upset about it.
18371,18780,3,0,3,0,1,RT @__DayAnnaa: Bobby bitch bobby bitch &#128293;&#128293;&#128520;
19710,20147,3,0,0,3,2,RT @monogrammedprep: God is a Yankees fan. #FarewellCaptain
12082,12391,3,0,3,0,1,John Legend is showin this country bitch up on her own song
14263,14605,3,0,2,1,1,RT @BIGBROWNLEE: The Homie @WersMyLIGHTAAAA Got This bitch Rocken
24744,25257,3,0,3,0,1,"yo bitch bitch gone let me fuck tonight
thursty Thursday at the WesGod cave"
99,100,3,1,2,0,1,"""@ChandlerParsons: How bout them Cowboys!!!!"" Shutup pussy"
11192,11479,3,0,0,3,2,I'm Pregnant Charlie Brown! #WorstPeanutsSpecialEver
22407,22882,3,0,3,0,1,"Used to have a girlfriend, now all I got is hoes.."
7024,7220,3,0,3,0,1,@shefeelsD_Payne nigga don't be telling my business on this hoe lol
3161,3242,3,2,1,0,0,@Fardousaa becuz no man should celebrate his bday at a drreams #faggot
17966,18369,3,0,3,0,1,"RT @Vacante_: If ya girl shaves the pussy before going out with her girls, somethings wrong."
10089,10362,3,0,3,0,1,"I broke baby outta his thug stage n turned him into a pussy &#128514; , it was hard but I did it &#128129;&#128537; now he show more feelings than a lit bit"
23940,24437,3,3,0,0,0,hope gezus gets shot in his faggot head #houston #nbombs
5046,5196,3,0,3,0,1,@Tristine214 I tried one of them pom pomegranate juices n I swear it tasted like flavored piss.........dont ask lol
12261,12572,3,0,3,0,1,Kobe is fat &amp; Im white &#9996;RT @jwill252: Some people just retarded lol RT @TheTrackMamba: Y'all really think Kobe Fat tho??? Give me a break!!
