"","term","anger","anticipation","disgust","fear","joy","sadness","surprise","trust"
"1989","chapman",0,0,0,0,0,0,0,0
"1990","chaps",0,0,0,0,0,0,0,0
"1991","chapter",0,0,0,0,0,0,0,0
"1992","char",0,0,0,0,0,0,0,0
"1993","character",0,0,0,0,0,0,0,0
"1994","characteristic",0,0,0,0,0,0,0,0
"1995","characterize",0,0,0,0,0,0,0,0
"1996","charade",0,0,0,0,0,0,0,0
"1997","charcoal",0,0,0,0,0,0,0,0
"1998","charge",0,0,0,0,0,0,0,0
"1999","chargeable",0,0,0,1,0,1,0,0
"2000","charger",0,0,0,0,0,0,0,0
"2001","chariot",0,0,0,0,0,0,0,0
"2002","charitable",0,1,0,0,1,0,0,1
"2003","charity",0,0,0,0,1,0,0,0
"2004","charm",0,0,0,0,0,0,0,0
"2005","charmed",0,0,0,0,1,0,0,0
"2006","charmer",0,0,0,0,0,0,0,0
"2007","charming",0,0,0,0,0,0,0,0
"2008","chart",0,0,0,0,0,0,0,1
"2009","charter",0,0,0,0,0,0,0,0
"2010","chartered",0,0,0,0,0,0,0,0
"2011","chase",0,0,0,0,0,0,0,0
"2012","chasm",0,0,0,1,0,0,0,0
"2013","chastisement",0,0,0,0,0,0,0,0
"2014","chastity",0,1,0,0,0,0,0,1
"2015","chat",0,0,0,0,0,0,0,0
"2016","chateau",0,0,0,0,0,0,0,0
"2017","chatter",0,0,0,0,0,0,0,0
"2018","chattering",0,0,0,0,0,0,0,0
"2019","chatty",0,0,0,0,0,0,0,0
"2020","chauffeur",0,0,0,0,0,0,0,0
"2021","cheap",0,0,0,0,0,0,0,0
"2022","cheat",1,0,1,0,0,0,0,0
"2023","check",0,0,0,0,0,0,0,0
"2024","checker",0,0,0,0,0,0,0,0
"2025","checkered",0,0,0,0,0,0,0,0
"2026","checkers",0,0,0,0,0,0,0,0
"2027","checklist",0,0,0,0,0,0,0,1
"2028","cheek",0,0,0,0,0,0,0,0
"2029","cheeks",0,0,0,0,0,0,0,0
"2030","cheep",0,0,0,0,0,0,0,0
"2031","cheer",0,1,0,0,1,0,1,1
"2032","cheerful",0,0,0,0,1,0,1,0
"2033","cheerfulness",0,1,0,0,1,0,0,1
"2034","cheering",0,0,0,0,1,0,0,0
"2035","cheery",0,1,0,0,1,0,0,0
"2036","cheesecake",0,0,0,0,0,0,0,0
"2037","cheetah",0,0,0,0,0,0,0,0
"2038","chemise",0,0,0,0,0,0,0,0
"2039","chemist",0,0,0,0,0,0,0,1
"2040","chemistry",0,0,0,0,0,0,0,0
"2041","cheque",0,0,0,0,0,0,0,0
"2042","cherish",0,1,0,0,1,0,1,1
"2043","cherry",0,0,0,0,0,0,0,0
"2044","chess",0,0,0,0,0,0,0,0
"2045","chest",0,0,0,0,0,0,0,0
"2046","chestnut",0,0,0,0,0,0,0,0
"2047","chevron",0,0,0,0,0,0,0,0
"2048","chew",0,0,0,0,0,0,0,0
"2049","chic",0,0,0,0,0,0,0,0
"2050","chicane",0,1,0,0,0,0,1,1
"2051","chicken",0,0,0,1,0,0,0,0
"2052","chief",0,0,0,0,0,0,0,0
"2053","chiefly",0,0,0,0,0,0,0,0
"2054","chieftain",0,0,0,0,0,0,0,0
"2055","child",0,1,0,0,1,0,0,0
"2056","childbirth",0,0,0,0,0,0,0,0
"2057","childhood",0,0,0,0,1,0,0,0
"2058","childish",0,0,0,0,0,0,0,0
"2059","chill",0,0,0,0,0,0,0,0
"2060","chilly",0,0,0,0,0,0,0,0
"2061","chime",0,0,0,0,0,0,0,0
"2062","chimera",0,0,0,1,0,0,1,0
"2063","chimes",0,0,0,0,0,0,0,0
"2064","chimney",0,0,0,0,0,0,0,0
"2065","china",0,0,0,0,0,0,0,0
"2066","chine",0,0,0,0,0,0,0,0
"2067","chinook",0,0,0,0,0,0,0,0
"2068","chip",0,0,0,0,0,0,0,0
"2069","chipping",0,0,0,0,0,0,0,0
"2070","chirp",0,0,0,0,1,0,0,0
"2071","chisel",0,0,0,0,0,0,0,0
"2072","chit",0,0,0,0,0,0,0,0
"2073","chivalry",0,0,0,0,0,0,0,0
"2074","chloroform",0,0,0,0,0,0,0,0
"2075","chocolate",0,1,0,0,1,0,0,1
"2076","choice",0,0,0,0,0,0,0,0
"2077","choir",0,0,0,0,1,0,0,1
"2078","choke",1,0,0,0,0,1,0,0
"2079","cholera",0,0,1,1,0,1,0,0
"2080","choose",0,0,0,0,0,0,0,0
"2081","choosing",0,0,0,0,0,0,0,0
"2082","chop",0,0,0,0,0,0,0,0
"2083","chopping",0,0,0,0,0,0,0,0
"2084","chops",0,0,0,0,0,0,0,0
"2085","choral",0,0,0,0,1,0,0,0
"2086","chords",0,0,0,0,0,0,0,0
"2087","chore",0,0,0,0,0,0,0,0
"2088","chorus",0,0,0,0,0,0,0,0
"2089","chosen",0,0,0,0,0,0,0,0
"2090","chowder",0,0,0,0,0,0,0,0
"2091","christening",0,0,0,0,0,0,0,0
"2092","chromatic",0,0,0,0,0,0,0,0
"2093","chromatography",0,0,0,0,0,0,0,0
"2094","chromosome",0,0,0,0,0,0,0,0
"2095","chronic",0,0,0,0,0,1,0,0
"2096","chronicle",0,0,0,0,0,0,0,1
"2097","chronograph",0,0,0,0,0,0,0,0
"2098","chronological",0,0,0,0,0,0,0,0
"2099","chuck",0,0,0,0,0,0,0,0
"2100","chuckle",0,1,0,0,1,0,1,1
"2101","chunk",0,0,0,0,0,0,0,0
"2102","chunky",0,0,0,0,0,0,0,0
"2103","church",0,1,0,0,1,0,0,1
"2104","churchyard",0,0,0,0,0,0,0,0
"2105","churn",0,0,0,0,0,0,0,0
"2106","chute",0,0,0,0,0,0,0,0
"2107","chutney",0,0,0,0,0,0,0,0
"2108","ciao",0,0,0,0,0,0,0,0
"2109","cider",0,0,0,0,0,0,0,0
"2110","cigar",0,0,0,0,0,0,0,0
"2111","cigarette",0,0,0,0,0,0,0,0
"2112","cinch",0,0,0,0,0,0,0,0
"2113","cinder",0,0,0,0,0,0,0,0
"2114","cinema",0,0,0,0,0,0,0,0
"2115","cinematographer",0,0,0,0,0,0,0,0
"2116","cinematography",0,0,0,0,0,0,0,0
"2117","cinnamon",0,0,0,0,0,0,0,0
"2118","cipher",0,0,0,0,0,0,0,0
"2119","circle",0,0,0,0,0,0,0,0
"2120","circling",0,0,0,0,0,0,0,0
"2121","circuit",0,0,0,0,0,0,0,0
"2122","circular",0,0,0,0,0,0,0,0
"2123","circulate",0,0,0,0,0,0,0,0
"2124","circulation",0,0,0,0,0,0,0,0
"2125","circumcision",0,0,0,0,0,0,0,0
"2126","circumference",0,0,0,0,0,0,0,0
"2127","circumferential",0,0,0,0,0,0,0,0
"2128","circumscribed",0,0,0,0,0,0,0,0
"2129","circumstance",0,0,0,0,0,0,0,0
"2130","circumstantial",0,0,0,0,0,0,0,0
"2131","circumvention",0,0,0,0,0,0,0,0
"2132","circus",0,0,0,0,0,0,0,0
"2133","cirrus",0,0,0,0,0,0,0,0
"2134","cistern",0,0,0,0,0,0,0,0
"2135","citadel",0,0,0,0,0,0,0,0
"2136","citation",0,0,0,0,0,0,0,0
"2137","citizen",0,0,0,0,0,0,0,0
"2138","citrine",0,0,0,0,0,0,0,0
"2139","city",0,0,0,0,0,0,0,0
"2140","civic",0,0,0,0,0,0,0,0
"2141","civil",0,0,0,0,0,0,0,0
"2142","civilian",0,0,0,0,0,0,0,0
"2143","civility",0,0,0,0,0,0,0,0
"2144","civilization",0,0,0,0,0,0,0,1
"2145","civilized",0,0,0,0,1,0,0,1
"2146","clad",0,0,0,0,0,0,0,0
"2147","claim",0,0,0,0,0,0,0,0
"2148","claimant",1,0,1,0,0,0,0,0
"2149","clairvoyant",0,0,0,0,0,0,0,0
"2150","clam",0,0,0,0,0,0,0,0
"2151","clamor",1,1,1,0,0,0,1,0
"2152","clamp",0,0,0,0,0,0,0,0
"2153","clan",0,0,0,0,0,0,0,1
"2154","clandestine",0,0,0,0,0,0,0,0
"2155","clap",0,1,0,0,1,0,0,1
"2156","clarify",0,0,0,0,0,0,0,0
"2157","clarinet",0,0,0,0,0,0,0,0
"2158","clarion",0,0,0,0,0,0,0,0
"2159","clarity",0,0,0,0,0,0,0,0
"2160","clash",1,0,0,0,0,0,0,0
"2161","clashing",1,0,0,1,0,0,0,0
"2162","clasp",0,0,0,0,0,0,0,0
"2163","class",0,0,0,0,0,0,0,0
"2164","classic",0,0,0,0,0,0,0,0
"2165","classical",0,0,0,0,0,0,0,0
"2166","classics",0,0,0,0,1,0,0,0
"2167","classification",0,0,0,0,0,0,0,0
"2168","classify",0,0,0,0,0,0,0,0
"2169","classmate",0,0,0,0,0,0,0,0
"2170","clatter",0,0,0,0,0,0,0,0
"2171","clause",0,0,0,0,0,0,0,0
"2172","clauses",0,0,0,0,0,0,0,0
"2173","claw",1,0,0,1,0,0,0,0
"2174","claws",0,0,0,0,0,0,0,0
"2175","clay",0,0,0,0,0,0,0,0
"2176","clean",0,0,0,0,1,0,0,1
"2177","cleaning",0,0,0,0,0,0,0,0
"2178","cleanliness",0,0,0,0,0,0,0,0
"2179","cleanly",0,0,0,0,0,0,0,0
"2180","cleanse",0,0,0,0,0,0,0,0
"2181","cleansing",0,0,0,0,0,0,0,0
"2182","clearance",0,0,0,0,0,0,0,1
"2183","clearing",0,0,0,0,0,0,0,0
"2184","clearness",0,0,0,0,0,0,0,0
"2185","cleavage",0,0,0,0,0,0,0,0
"2186","cleave",0,0,0,1,0,0,0,0
"2187","clef",0,0,0,0,0,0,0,0
"2188","cleft",0,0,0,0,0,0,0,0
"2189","clemency",0,0,0,0,0,0,0,0
"2190","clergy",0,0,0,0,0,0,0,0
"2191","clergyman",0,0,0,0,0,0,0,0
"2192","clerical",0,0,0,0,0,0,0,1
"2193","clerk",0,0,0,0,0,0,0,0
"2194","clerkship",0,0,0,0,0,0,0,0
"2195","clever",0,0,0,0,0,0,0,0
"2196","cleverness",0,0,0,0,0,0,0,0
"2197","click",0,0,0,0,0,0,0,0
"2198","client",0,0,0,0,0,0,0,0
"2199","clientele",0,0,0,0,0,0,0,0
"2200","cliff",0,0,0,1,0,0,0,0
"2201","climate",0,0,0,0,0,0,0,0
"2202","climatology",0,0,0,0,0,0,0,0
"2203","climax",0,1,0,0,1,0,1,1
"2204","climb",0,0,0,0,0,0,0,0
"2205","cling",0,0,0,0,0,0,0,0
"2206","clip",0,0,0,0,0,0,0,0
"2207","clipper",0,0,0,0,0,0,0,0
"2208","clipping",0,0,0,0,0,0,0,0
"2209","clique",0,0,0,0,0,0,0,0
"2210","cloak",0,0,0,0,0,0,0,0
"2211","clock",0,1,0,0,0,0,0,0
"2212","clockwork",0,0,0,0,0,0,0,0
"2213","clog",0,0,0,0,0,0,0,0
"2214","cloister",0,0,0,0,0,0,0,0
"2215","close",0,0,0,0,0,0,0,0
"2216","closed",0,0,0,0,0,0,0,0
"2217","closeness",0,0,0,0,1,0,0,1
"2218","closet",0,0,0,0,0,0,0,0
"2219","closure",0,1,0,0,1,1,0,0
"2220","clot",0,0,0,0,0,0,0,0
"2221","cloth",0,0,0,0,0,0,0,0
"2222","clothe",0,0,0,0,0,0,0,0
"2223","clothes",0,0,0,0,0,0,0,0
"2224","clothesline",0,0,0,0,0,0,0,0
"2225","clothing",0,0,0,0,0,0,0,0
"2226","cloud",0,0,0,0,0,0,0,0
"2227","clouded",0,0,0,0,0,1,0,0
"2228","cloudiness",0,0,0,1,0,0,0,0
"2229","cloudy",0,0,0,0,0,1,0,0
"2230","clover",0,0,0,0,0,0,0,0
"2231","cloves",0,0,0,0,0,0,0,0
"2232","clown",0,1,0,0,1,0,1,0
"2233","club",0,0,0,0,0,0,0,0
"2234","clubhouse",0,0,0,0,0,0,0,0
"2235","clubs",0,0,0,0,0,0,0,0
"2236","clue",0,1,0,0,0,0,0,0
"2237","clump",0,0,0,0,0,0,0,0
"2238","clumsy",0,0,1,0,0,0,0,0
"2239","cluster",0,0,0,0,0,0,0,0
"2240","clutch",0,0,0,0,0,0,0,0
"2241","clutches",0,0,0,0,0,0,0,0
"2242","clutter",0,0,0,0,0,0,0,0
"2243","coach",0,0,0,0,0,0,0,1
"2244","coagulation",0,0,0,0,0,0,0,0
"2245","coal",0,0,0,0,0,0,0,0
"2246","coalesce",0,0,0,0,0,0,0,1
"2247","coalition",0,0,0,0,0,0,0,0
"2248","coast",0,0,0,0,0,0,0,0
"2249","coastal",0,0,0,0,0,0,0,0
"2250","coaster",0,0,0,0,0,0,0,0
"2251","coat",0,0,0,0,0,0,0,0
"2252","coating",0,0,0,0,0,0,0,0
"2253","coax",0,0,0,0,0,0,0,1
"2254","cobalt",0,0,0,0,0,0,0,0
"2255","cobble",0,0,0,0,0,0,0,0
"2256","cobbler",0,0,0,0,0,0,0,0
"2257","cobra",0,0,0,1,0,0,0,0
"2258","cocaine",0,0,0,0,0,1,0,0
"2259","cock",0,0,0,0,0,0,0,0
"2260","cockpit",0,0,0,0,0,0,0,0
"2261","cocktail",0,0,0,0,0,0,0,0
"2262","cocoa",0,0,0,0,0,0,0,0
"2263","cocoon",0,0,0,0,0,0,0,0
"2264","cod",0,0,0,0,0,0,0,0
"2265","code",0,0,0,0,0,0,0,0
"2266","codex",0,0,0,0,0,0,0,0
"2267","codification",0,0,0,0,0,0,0,0
"2268","codify",0,0,0,0,0,0,0,0
"2269","coefficient",0,0,0,0,0,0,0,0
"2270","coerce",1,0,1,1,0,0,0,0
"2271","coercion",1,0,1,1,0,1,0,0
"2272","coercive",0,0,0,0,0,0,0,0
"2273","coexist",0,0,0,0,0,0,0,1
"2274","coexistence",0,0,0,0,0,0,0,0
"2275","coexisting",0,0,0,0,0,0,0,1
"2276","coffee",0,0,0,0,0,0,0,0
"2277","coffin",0,0,0,1,0,1,0,0
"2278","cog",0,0,0,0,0,0,0,0
"2279","cogent",0,0,0,0,0,0,0,1
"2280","cognate",0,0,0,0,0,0,0,0
"2281","cognition",0,0,0,0,0,0,0,0
"2282","cognitive",0,0,0,0,0,0,0,0
"2283","cohabitation",0,0,0,0,0,0,0,0
"2284","coherence",0,0,0,0,0,0,0,0
"2285","coherent",0,0,0,0,0,0,0,0
"2286","cohesion",0,0,0,0,0,0,0,1
"2287","cohesive",0,0,0,0,0,0,0,1
"2288","cohort",0,0,0,0,0,0,0,0
"2289","coil",0,0,0,0,0,0,0,0
"2290","coiled",0,0,0,0,0,0,0,0
"2291","coin",0,0,0,0,0,0,0,0
"2292","coinage",0,0,0,0,0,0,0,0
"2293","coincide",0,0,0,0,0,0,0,0
"2294","coincidence",0,0,0,0,0,0,1,0
"2295","coincident",0,0,0,0,0,0,0,0
"2296","coinciding",0,0,0,0,0,0,0,0
"2297","coke",0,0,0,0,0,0,0,0
"2298","cold",0,0,0,0,0,0,0,0
"2299","coldly",0,0,0,0,0,0,0,0
"2300","coldness",1,0,1,1,0,1,0,0
"2301","colic",0,0,0,0,0,0,0,0
"2302","collaborator",0,0,0,0,0,0,0,1
"2303","collapse",0,0,1,1,0,1,0,0
"2304","collar",0,0,0,0,0,0,0,0
"2305","collate",0,0,0,0,0,0,0,0
"2306","collateral",0,0,0,0,0,0,0,1
"2307","collation",0,0,0,0,0,0,0,0
"2308","colleague",0,0,0,0,0,0,0,0
"2309","collect",0,0,0,0,0,0,0,0
"2310","collected",0,0,0,0,0,0,0,0
"2311","collection",0,0,0,0,0,0,0,0
"2312","collective",0,0,0,0,0,0,0,0
"2313","collectively",0,0,0,0,0,0,0,1
"2314","collector",0,0,0,0,0,0,0,0
"2315","college",0,0,0,0,0,0,0,0
"2316","collegiate",0,0,0,0,0,0,0,0
"2317","collide",0,0,0,0,0,0,0,0
"2318","collie",0,0,0,0,0,0,0,0
"2319","collision",1,0,0,0,0,0,0,0
"2320","collocation",0,0,0,0,0,0,0,0
"2321","colloquial",0,0,0,0,0,0,0,0
"2322","collusion",1,0,1,1,0,1,0,0
"2323","colon",0,0,0,0,0,0,0,0
"2324","colonel",0,0,0,0,0,0,0,1
"2325","colonial",0,0,0,0,0,0,0,0
"2326","colony",0,0,0,0,0,0,0,0
"2327","colophon",0,0,0,0,0,0,0,0
"2328","color",0,0,0,0,0,0,0,0
"2329","coloration",0,0,0,0,0,0,0,0
"2330","colored",0,0,0,0,0,0,0,0
"2331","coloring",0,0,0,0,0,0,0,0
"2332","colorless",0,0,0,0,0,0,0,0
"2333","colors",0,0,0,0,0,0,0,0
"2334","colossal",0,0,0,0,0,0,0,0
"2335","colt",0,0,0,0,0,0,0,0
"2336","column",0,0,0,0,0,0,0,0
"2337","columnar",0,0,0,0,0,0,0,0
"2338","coma",0,0,0,1,0,1,0,0
"2339","comatose",0,0,0,1,0,1,0,0
"2340","comb",0,0,0,0,0,0,0,0
"2341","combat",1,0,0,1,0,0,0,0
"2342","combatant",1,0,0,1,0,0,0,0
"2343","combative",1,0,0,1,0,0,0,0
"2344","combination",0,0,0,0,0,0,0,0
"2345","combinatorial",0,0,0,0,0,0,0,0
"2346","combine",0,0,0,0,0,0,0,0
"2347","combined",0,0,0,0,0,0,0,0
"2348","combustible",0,0,0,0,0,0,0,0
"2349","combustion",0,0,0,0,0,0,0,0
"2350","comedy",0,0,0,0,0,0,0,0
"2351","comet",0,0,0,0,0,0,0,0
"2352","comfort",0,1,0,0,1,0,0,1
"2353","comforter",0,0,0,0,0,0,0,0
"2354","comic",0,0,0,0,0,0,0,0
"2355","comical",0,0,0,0,0,0,0,0
"2356","coming",0,1,0,0,0,0,0,0
"2357","comma",0,0,0,0,0,0,0,0
"2358","command",0,0,0,0,0,0,0,0
"2359","commandant",0,0,0,0,0,0,0,1
"2360","commander",0,0,0,0,0,0,0,0
"2361","commanding",0,0,0,0,0,0,0,1
"2362","commemorate",0,1,0,0,1,1,0,0
"2363","commemoration",0,1,0,0,1,0,0,0
"2364","commemorative",0,1,0,0,0,0,0,0
"2365","commence",0,0,0,0,0,0,0,0
"2366","commend",0,0,0,0,0,0,0,0
"2367","commendable",0,0,0,0,1,0,0,1
"2368","commensurate",0,0,0,0,0,0,0,0
"2369","comment",0,0,0,0,0,0,0,0
"2370","commentary",0,0,0,0,0,0,0,0
"2371","commentator",0,0,0,0,0,0,0,0
"2372","commerce",0,0,0,0,0,0,0,1
"2373","commercial",0,0,0,0,0,0,0,0
"2374","commissary",0,0,0,0,0,0,0,0
"2375","commission",0,0,0,0,0,0,0,1
"2376","commissioner",0,0,0,0,0,0,0,0
"2377","commit",0,0,0,0,0,0,0,0
"2378","committal",0,0,0,0,0,1,0,0
"2379","committed",0,0,0,0,0,0,0,1
"2380","committee",0,0,0,0,0,0,0,1
"2381","commodity",0,0,0,0,0,0,0,0
"2382","commodore",0,0,0,0,0,0,0,1
"2383","common",0,0,0,0,0,0,0,0
"2384","commonly",0,0,0,0,0,0,0,0
"2385","commonplace",0,1,0,0,0,0,0,1
"2386","commons",0,0,0,0,0,0,0,0
"2387","commonwealth",0,0,0,0,0,0,0,1
"2388","commotion",1,0,0,0,0,0,0,0
"2389","commune",0,0,0,0,0,0,0,0
"2390","communicable",0,0,0,0,0,0,0,0
"2391","communicate",0,0,0,0,0,0,0,1
"2392","communication",0,0,0,0,0,0,0,1
"2393","communicative",0,0,0,0,0,0,0,0
"2394","communion",0,0,0,0,1,0,0,1
"2395","communism",1,0,0,1,0,1,0,0
"2396","communist",0,0,0,0,0,0,0,0
"2397","community",0,0,0,0,0,0,0,0
"2398","commutation",0,0,0,0,0,0,0,0
"2399","commutative",0,0,0,0,0,0,0,0
"2400","commute",0,0,0,0,0,0,0,0
"2401","commuter",0,0,0,0,0,0,0,0
"2402","compact",0,0,0,0,0,0,0,1
"2403","compaction",0,0,0,0,0,0,0,0
"2404","compactness",0,0,0,0,0,0,0,0
"2405","companion",0,0,0,0,1,0,0,1
"2406","companionship",0,0,0,0,0,0,0,0
"2407","company",0,0,0,0,0,0,0,0
"2408","comparable",0,0,0,0,0,0,0,0
"2409","comparative",0,0,0,0,0,0,0,0
"2410","comparatively",0,0,0,0,0,0,0,0
"2411","comparison",0,0,0,0,0,0,0,0
"2412","compartment",0,0,0,0,0,0,0,0
"2413","compass",0,0,0,0,0,0,0,1
"2414","compassion",0,0,0,1,0,0,0,0
"2415","compassionate",0,0,0,0,0,0,0,0
"2416","compatibility",0,0,0,0,0,0,0,0
"2417","compatible",0,0,0,0,0,0,0,0
"2418","compel",0,0,0,0,0,0,0,0
"2419","compelled",0,0,0,0,0,0,0,0
"2420","compelling",0,0,0,0,0,0,0,0
"2421","compendium",0,0,0,0,0,0,0,0
"2422","compensate",0,1,0,0,1,0,1,1
"2423","compensation",0,0,0,0,0,0,0,0
"2424","compensatory",0,0,0,0,0,0,0,0
"2425","competence",0,0,0,0,0,0,0,1
"2426","competency",0,0,0,0,0,0,0,1
"2427","competent",0,0,0,0,0,0,0,1
"2428","competition",0,1,0,0,0,0,0,0
"2429","competitive",0,0,0,0,0,0,0,0
"2430","competitor",0,0,0,0,0,0,0,0
"2431","compilation",0,0,0,0,0,0,0,0
"2432","compile",0,0,0,0,0,0,0,0
"2433","complacency",0,0,0,0,0,0,0,0
"2434","complacent",0,0,0,0,0,0,0,0
"2435","complain",1,0,0,0,0,1,0,0
"2436","complaint",1,0,0,0,0,0,0,0
"2437","complement",0,1,0,0,1,0,1,1
"2438","complementary",0,0,0,0,0,0,0,0
"2439","completed",0,0,0,0,0,0,0,0
"2440","completely",0,0,0,0,0,0,0,0
"2441","completeness",0,0,0,0,0,0,0,0
"2442","completing",0,1,0,0,1,0,0,0
"2443","completion",0,1,0,0,1,0,0,0
"2444","complex",0,0,0,0,0,0,0,0
"2445","complexed",0,0,0,0,0,0,0,0
"2446","complexion",0,0,0,0,0,0,0,0
"2447","complexity",0,0,0,0,0,0,0,0
"2448","compliance",0,0,0,0,0,0,0,1
"2449","compliant",0,0,0,0,0,0,0,0
"2450","complicate",1,0,0,0,0,0,0,0
"2451","complicated",0,0,0,0,0,0,0,0
"2452","complication",0,0,0,0,0,0,0,0
"2453","complicity",0,0,0,0,0,0,0,0
"2454","compliment",0,1,0,0,1,0,1,1
"2455","comply",0,0,0,0,0,0,0,0
"2456","complying",0,0,0,0,0,0,0,0
"2457","compo",0,0,0,0,0,0,0,0
"2458","component",0,0,0,0,0,0,0,0
"2459","compose",0,0,0,0,0,0,0,0
"2460","composed",0,0,0,0,0,0,0,0
"2461","composer",0,0,0,0,0,0,0,0
"2462","composite",0,0,0,0,0,0,0,0
"2463","composition",0,0,0,0,0,0,0,0
"2464","compost",0,0,1,0,0,0,0,0
"2465","composure",0,0,0,0,0,0,0,0
"2466","compound",0,0,0,0,0,0,0,0
"2467","comprehend",0,0,0,0,0,0,0,0
"2468","comprehension",0,0,0,0,0,0,0,0
"2469","comprehensive",0,0,0,0,0,0,0,0
"2470","compress",1,0,0,0,0,0,0,0
"2471","compressed",0,0,0,0,0,0,0,0
"2472","compressible",0,0,0,0,0,0,0,0
"2473","compression",0,0,0,0,0,0,0,0
"2474","comprise",0,0,0,0,0,0,0,0
"2475","compromise",0,0,0,0,0,0,0,0
"2476","comptroller",0,0,0,0,0,0,0,1
"2477","compulsion",1,0,0,0,0,0,0,0
"2478","compulsory",0,0,0,0,0,0,0,0
"2479","computable",0,0,0,0,0,0,0,0
"2480","computation",0,0,0,0,0,0,0,0
"2481","compute",0,0,0,0,0,0,0,0
"2482","computer",0,0,0,0,0,0,0,0
"2483","comrade",0,0,0,0,0,0,0,1
"2484","con",0,0,0,0,0,0,0,0
"2485","concatenation",0,0,0,0,0,0,0,0
"2486","concave",0,0,0,0,0,0,0,0
"2487","conceal",0,0,0,0,0,1,0,0
"2488","concealed",0,1,0,1,0,0,1,0
"2489","concealment",1,1,0,1,0,0,0,0
"2490","conceit",0,0,0,0,0,0,0,0
"2491","conceited",0,0,0,0,0,0,0,0
"2492","conceivable",0,0,0,0,0,0,0,0
"2493","concentrate",0,0,0,0,0,0,0,0
"2494","concentration",0,0,0,0,0,0,0,0
"2495","concentric",0,0,0,0,0,0,0,0
"2496","conception",0,0,0,0,0,0,0,0
"2497","concern",0,0,0,0,0,0,0,0
"2498","concerned",0,0,0,1,0,1,0,0
"2499","concert",0,0,0,0,0,0,0,0
"2500","concession",0,0,0,0,0,0,0,0
"2501","concessional",0,0,0,0,0,0,0,0
"2502","concierge",0,0,0,0,0,0,0,0
"2503","conciliation",0,0,0,0,1,0,0,1
"2504","concise",0,0,0,0,0,0,0,0
"2505","conclave",0,0,0,0,0,0,0,0
"2506","conclude",0,0,0,0,0,0,0,0
"2507","concluding",0,0,0,0,0,0,0,0
"2508","conclusion",0,0,0,0,0,0,0,0
"2509","concoction",0,0,0,0,0,0,0,0
"2510","concomitant",0,0,0,0,0,0,0,0
"2511","concord",0,0,0,0,0,0,0,1
"2512","concordance",0,0,0,0,0,0,0,1
"2513","concours",0,0,0,0,0,0,0,0
"2514","concourse",0,0,0,0,0,0,0,0
"2515","concrete",0,0,0,0,0,0,0,0
"2516","concurrence",0,0,0,0,0,0,0,0
"2517","concurrent",0,0,0,0,0,0,0,0
"2518","concurring",0,0,0,0,0,0,0,0
"2519","concussion",1,0,0,0,0,1,0,0
"2520","condemn",1,0,0,0,0,0,0,0
"2521","condemnation",1,1,1,1,0,1,0,0
"2522","condensation",0,0,0,0,0,0,0,0
"2523","condensed",0,0,0,0,0,0,0,0
"2524","condescending",0,0,0,0,0,0,0,0
"2525","condescension",1,0,1,0,0,1,0,0
"2526","condiment",0,0,0,0,0,0,0,0
"2527","condition",0,0,0,0,0,0,0,0
"2528","conditional",0,0,0,0,0,0,0,0
"2529","conditionally",0,0,0,0,0,0,0,0
"2530","conditioned",0,0,0,0,0,0,0,0
"2531","conditions",0,0,0,0,0,0,0,0
"2532","condolence",0,0,0,0,0,1,0,0
"2533","condone",0,0,0,0,0,0,0,0
"2534","conducive",0,0,0,0,0,0,0,0
"2535","conduct",0,0,0,0,0,0,0,0
"2536","conduction",0,0,0,0,0,0,0,0
"2537","conductivity",0,0,0,0,0,0,0,0
"2538","conductor",0,0,0,0,0,0,0,0
"2539","conduit",0,0,0,0,0,0,0,0
"2540","cone",0,0,0,0,0,0,0,0
"2541","confederate",0,0,0,0,0,0,0,1
"2542","confederation",0,0,0,0,0,0,0,0
"2543","confer",0,0,0,0,0,0,0,0
"2544","conference",0,0,0,0,0,0,0,0
"2545","confess",0,0,0,0,0,0,0,1
"2546","confession",0,1,0,1,0,1,1,0
"2547","confessional",0,0,0,1,0,0,0,1
"2548","confessions",0,0,0,0,0,0,0,0
"2549","confide",0,0,0,0,0,0,0,1
"2550","confidence",0,0,0,1,1,0,0,1
"2551","confident",0,0,0,0,1,0,0,1
"2552","confidential",0,0,0,0,0,0,0,1
"2553","confidentially",0,0,0,0,0,0,0,1
"2554","configuration",0,0,0,0,0,0,0,0
"2555","confine",1,0,0,1,0,1,0,0
"2556","confined",1,0,1,1,0,1,0,0
"2557","confinement",1,0,0,1,0,1,0,0
"2558","confines",0,0,0,0,0,0,0,0
"2559","confirm",0,0,0,0,0,0,0,0
"2560","confirmation",0,0,0,0,0,0,0,1
"2561","confirmatory",0,0,0,0,0,0,0,0
"2562","confirmed",0,0,0,0,0,0,0,1
"2563","confiscate",1,0,0,0,0,1,0,0
"2564","confiscation",0,0,0,0,0,0,0,0
"2565","conflagration",1,0,0,1,0,0,0,0
"2566","conflict",1,0,0,1,0,1,0,0
"2567","conflicting",0,0,0,0,0,0,0,0
"2568","confluence",0,0,0,0,0,0,0,0
"2569","conformance",0,0,0,0,0,0,0,0
"2570","conformation",0,0,0,0,0,0,0,0
"2571","conformity",0,0,0,0,0,0,0,1
"2572","confound",0,0,0,0,0,0,0,0
"2573","confounded",0,0,0,0,0,0,0,0
"2574","confront",1,0,0,0,0,0,0,0
