,tweet,class,prediction
1006,"RT @ItsDomanic_: @fabbymichelle @BrianLovesAss_ alright i'll meet you there &#128076; and im not a fag , in fact Brian don't give her shit",1,0
12482,RT @KoolQueef: I gave up calling my wife a nigger during sex for lent.,1,0
2781,@salsteelo @VictorLeaChavez that nigga Vic acting like he yellow bone with 15k followers and can't answer a nigga phone,1,0
18902,In redneck land ;) #Tennessee,1,2
14826,RT @GoatRapLines: When Wale said.....nvm that nigga trash,1,0
4874,These celebrity niggas be passing these Kardashian hoes around monthly,1,0
11438,Lmfao watching Brokeback Mountain with Taylor cuz we've both never seen it aha #queers @mckinley719,1,2
16981,@saraelizabethj4 that's what happens when you date a colored,0,2
6730,@holyh00ker he looks like a pretty dyke&#128129;&#10024;,0,1
6306,RT @SeQuoia_Gabris: &#8220;@UeonoYungJumbo: @SeQuoia_Gabris yeah hoe!&#8221; But the babies are innocent lol so Gabriella still got her sister a birthd&#8230;,2,1
6,@elise_palmer sounds like gypos to me - they used to do this all the time where I lived,2,1
2948,"I hate ""chunky"" pasta sauce. KEEP PESKY VEGETABLES WAY FROM ME",2,1
14591,@LeonBaptist idk you into mouthy spics on welfare with 6 kids and 3 baby daddy's?,0,1
7738,@p0rnoPuppy He called @waynebrady a nigger,1,0
12113,@georgiathenewsa you look like a welfare bitch compared to Latinas I date and fuck. You need fashion and makeup tips tbh,0,1
14278,Lol petty ass RT @BreadTruckkBri: Lmmfaooooo @drake a hoe &#128514;&#128514;&#128514; http://t.co/mStsEEeT4R,1,2
3353,"Fuck it, its 4 am why am I tweeting as if anyone is going to answer me, y'all niggers don't reply at 4 pm. Niggerfag Niggerfag Niggerfag",1,0
6602,@AlanMilner @Morning_Joe AlQueda doesn't use cell phones or the internet? Wow you #teabaggers are stupid,1,2
7810,#IndigenousPeoplesDay HAHA!!! You fuckin' retarded commies!!!!! Hunter Biden loves snortin' that PYGMIE FAIRY DUST don't he? #liberals,1,0
14851,"RT @Coolie_GBE300: It's 2014 &amp; you niggas still runnin round sayin ""Yall don't eat pussy"". Y'all must be suckin dick.",0,1
1815,RT @JBilinovich: You may be redneck if you put steak seasoning on popcorn @weidie1211,2,1
4966,@triple6em96 @Hunglikerobby_ bitch you watch your fucking mouth you dirty whore. I swear to god that's a thin line,0,1
13538,RT @_ChickenGeorge: DEAD!!&#128128;&#8220;@TAkeme2CHINA: &#128553; RT @PEagles14: When ur fuckin and her pussy stank but u have really good friends........... ht&#8230;,0,1
6583,RT @kg4hunnid: Bruh you trash take yo ass back to college @GenoSmith7,1,2
3410,Let's just say the hotel I've been staying at isn't going to want this hand towel back. I had no idea I could turn 'em that shade of yellow.,2,1
15535,RT @KidnapYoGranny: if u dont want your heart broken then dont check for a nigga who entertains hoes,0,1
2498,"RT @exjon: Before covering up #IRS misdeeds, creepy little leprechaun John Koskinen cooked the books for Teamsters &amp; Freddie Mac http://t.c&#8230;",1,2
3449,in real life and online I follow that. sorry folks but just cause I look like a border hopper don't mean I am one. born and raised here,0,2
6244,@Prophzilla before I went off to college I wanted to get a ukulele but quickly realised I'd be a bigger fag than the guitar kid in the quad.,1,0
10534,I'm sorry.. I'm sorry.. I can't fuc wit u no mo hoe.. and I'm sorry &#128514;,1,0
13302,Happy birthday to the biggest retard out there. Youre my favorite retard though @jennahnorberg happy birthday nigs,1,2
5436,#BlessJesus The #Crown of HIS head to the sole of HIS feet,2,1
18516,RT @TheDouch3: Tweeting about ur boyfriend won't get him off Xbox live that nigga gotta 24 kill streak rn bitch shut up,1,0
6161,"@penisgravy 
Is dem? I wants to has my weenis swingin but da twitter say day shut my colored ass down",1,2
12325,RT @BadNewsAli: You really are a faggot if you say that match was bad. Stop watching,1,0
17103,RT @__bettyboo: You better pray I don't send your nudes out bitch,0,1
14625,hoes pick me like dandelions #PickMe,1,2
16425,"@Ray_Lakee #fag
 Fuckin pirelli tire black ass nigga whit a white boy shirt on but my nigga did loosen up a lil bit.#bowbow",1,0
3106,I'm a wigger,1,0
11719,@sassyharryballs ugly white bitch,0,1
18394,RT @scottiken: It's settled. The Ding Dong is far superior than the Twinkie.,2,1
15238,"RT @TransaparenT: ""Hi mom, last night I was cunt slapping when you texted me about grandpas bypass, sorry I didn't get back to you until no&#8230;",1,2
7562,@triple6em96 @Hunglikerobby_ uh I think his mom loves him you fucking retard. I'm sure your gunna be so successful emilie. We all believe &#128521;,1,0
16847,&#8220;@Garricka_: Ima just block you hoes out!&#8221;or block em either one lol,1,2
2084,@Huntermoore finger my pussy slowly with circular motion,1,0
12416,"Take that and shove it up your ass, @KeithOlbermann #Yankees #DerekJeter",1,2
5140,Fake niccas ain't far dog they right in ya face!,1,0
16615,"@almuirSI Probably, yeah. By most accounts, he has the personality to handle it though. And he can wear a yellow suit if he puts up points.",2,1
13142,You out there popping them pills fucking them stank hoes.. Keep it real you ain't really bout your bank roll.. You're satisfied.,1,0
15724,RT @TheVineNation: when you in a public place and ya side hoes come outta no where &#128557; https://t.co/1XV2fYehze,1,2
19191,I can tell when certain and specific people are posting on a group/corporate fb/twitter page by the consistent retarded hashtags #makeshitup,1,2
14037,@khamillkilroy &#128514;&#128514; Shy Glizzy,2,1
7588,RT @FoodPornsx: Deep Fried Oreos &#128588;&#128069;&#128166; . http://t.co/dy7QT1Jtlg,2,1
3068,"RT @SSparklesDaily: The most beautiful women I've met have bruised souls, tired eyes, &amp; quiet smiles. The survivors. The ones who know abo&#8230;",2,1
2712,"RT @_LilBaddiee_: I have a daughter to think about , yall think I'm worry about you hoes , naaaaaaaa",1,0
6503,@InfidelAlie that should read suck on my bacon encrusted middle finger Muslim twats,0,2
